SEMESTER 1			SEMESTER 2
SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	A	121	AIF102-4	Algoritma & Struktur Data	B	122
AIF105-3	Pengantar Informatika	C	121	AIF104-3	Logika Informatika	A	122
AIF191-3	Pemrograman Berorientasi Objek	B	121	AIF106-3	Sistem Dijital	A	122
MKU001-2	Pendidikan Pancasila	A	121	AMS100-4	Matematika Informatika	A	121
MKU008-2	Etika	B	121	MKU009-2	Bahasa Indonesia	B	122
MKU010-2	Bahasa Inggris	A	122	MKU011-2	Estetika	B	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	131	AIF202-4	Desain & Analisis Algoritma	B	132
AIF203-4	Struktur Diskrit	A	131	AIF204-4	Manajemen Informasi & Basis Data	B	132
AIF205-3	Arsitektur & Organisasi Komputer	A	131	AIF206-4	Sistem Operasi	A	132
AMS200-3	Probabilitas & Statistika	A	131	AIF208-4	Rekayasa Perangkat Lunak	A	132
MKU003-2	Pendidikan Agama (katolik)	B	131	AIF210-2	Interaksi Manusia Komputer	A	132
MKU012-2	Logika	A	122				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	B	121	AIF102-4	Algoritma & Struktur Data	B	122
AIF105-3	Pengantar Informatika	B	121	AIF104-3	Logika Informatika	A	122
AIF191-3	Pemrograman Berorientasi Objek	B	121	AIF106-3	Sistem Dijital	B	122
MKU001-2	Pendidikan Pancasila	B	121	AMS100-4	Matematika Informatika	A	121
MKU008-2	Etika	B	121	MKU009-2	Bahasa Indonesia	C	142
MKU010-2	Bahasa Inggris	A	122	MKU011-2	Estetika	B	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	A	131	AIF202-4	Desain & Analisis Algoritma	C	132
AIF203-4	Struktur Diskrit	A	131	AIF204-4	Manajemen Informasi & Basis Data	C	132
AIF205-3	Arsitektur & Organisasi Komputer	B	131	AIF206-4	Sistem Operasi	A	132
AMS200-3	Probabilitas & Statistika	A	131	AIF208-4	Rekayasa Perangkat Lunak	C	132
MKU003-2	Pendidikan Agama (katolik)	B	131	AIF210-2	Interaksi Manusia Komputer	B	132
MKU012-2	Logika	B	131				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D	121	AIF102-4	Algoritma & Struktur Data	C	132
AIF105-3	Pengantar Informatika	A	121	AIF104-3	Logika Informatika	A	122
AIF191-3	Pemrograman Berorientasi Objek	E-B	121-122	AIF106-3	Sistem Dijital	B	122
MKU001-2	Pendidikan Pancasila	A	121	AMS190-3	Matematika Informatika	A	122
MKU008-2	Etika	B	121	MKU009-2	Bahasa Indonesia	B	132
MKU010-2	Bahasa Inggris	A	122	MKU011-2	Estetika	B	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	131	AIF202-4	Desain & Analisis Algoritma	D	141
AIF203-4	Struktur Diskrit	A	131	AIF204-4	Manajemen Informasi & Basis Data	D	132
AIF205-3	Arsitektur & Organisasi Komputer	A	131	AIF206-4	Sistem Operasi	C	142
AMS200-3	Probabilitas & Statistika	A	131	AIF208-4	Rekayasa Perangkat Lunak	C	132
MKU003-2	Pendidikan Agama (katolik)	B	131	AIF210-2	Interaksi Manusia Komputer	A	132
MKU012-2	Logika	A	131				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	C	121	AIF102-4	Algoritma & Struktur Data	C	122
AIF105-3	Pengantar Informatika	B	121	AIF104-3	Logika Informatika	A	122
AIF191-3	Pemrograman Berorientasi Objek	C	121	AIF106-3	Sistem Dijital	B	122
MKU001-2	Pendidikan Pancasila	B	121	AMS190-3	Matematika Informatika	A	122
MKU008-2	Etika	A	121	MKU009-2	Bahasa Indonesia	B	142
MKU010-2	Bahasa Inggris	B	122	MKU011-2	Estetika	B	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	131	AIF202-4	Desain & Analisis Algoritma	C	132
AIF203-4	Struktur Diskrit	B	131	AIF204-4	Manajemen Informasi & Basis Data	B	132
AIF205-3	Arsitektur & Organisasi Komputer	A	131	AIF206-4	Sistem Operasi	A	132
AMS200-3	Probabilitas & Statistika	B	131	AIF208-4	Rekayasa Perangkat Lunak	C	132
MKU003-2	Pendidikan Agama (katolik)	B	131	AIF210-2	Interaksi Manusia Komputer	B	132
MKU012-2	Logika	A	131				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	B	121	AIF102-4	Algoritma & Struktur Data	A	122
AIF105-3	Pengantar Informatika	C	121	AIF104-3	Logika Informatika	B	122
AIF191-3	Pemrograman Berorientasi Objek	A	121	AIF106-3	Sistem Dijital	B	122
MKU001-2	Pendidikan Pancasila	C	121	AMS190-3	Matematika Informatika	A	122
MKU008-2	Etika	B	121	MKU009-2	Bahasa Indonesia	B	132
MKU010-2	Bahasa Inggris	A	122	MKU011-2	Estetika	E-C	122-132

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	A	131	AIF202-4	Desain & Analisis Algoritma	A	132
AIF203-4	Struktur Diskrit	A	131	AIF204-4	Manajemen Informasi & Basis Data	A	132
AIF205-3	Arsitektur & Organisasi Komputer	A	131	AIF206-4	Sistem Operasi	A	132
AMS200-3	Probabilitas & Statistika	A	131	AIF208-4	Rekayasa Perangkat Lunak	B	132
MKU004-2	Pendidikan Agama (fenomenologi)	B	131	AIF210-2	Interaksi Manusia Komputer	B	132
MKU012-2	Logika	B	131				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	C	121	AIF102-4	Algoritma & Struktur Data	D	132
AIF105-3	Pengantar Informatika	B	121	AIF104-3	Logika Informatika	E-C	122-132
AIF191-3	Pemrograman Berorientasi Objek	E-C	121-122	AIF106-3	Sistem Dijital	C	122
MKU001-2	Pendidikan Pancasila	B	121	AMS100-4	Matematika Informatika	B	121
MKU008-2	Etika	C	121	MKU009-2	Bahasa Indonesia	C	152
MKU010-2	Bahasa Inggris	C	122	MKU011-2	Estetika	B	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	D	131	AIF202-4	Desain & Analisis Algoritma	C	142
AIF203-4	Struktur Diskrit	B	131	AIF204-4	Manajemen Informasi & Basis Data	D	132
AIF205-3	Arsitektur & Organisasi Komputer	C	131	AIF206-4	Sistem Operasi	B	142
AMS200-3	Probabilitas & Statistika	B	131	AIF208-4	Rekayasa Perangkat Lunak	D	132
MKU003-2	Pendidikan Agama (katolik)	B	131	AIF210-2	Interaksi Manusia Komputer	A	132
MKU012-2	Logika	C	131				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	B	121	AIF102-4	Algoritma & Struktur Data	B	122
AIF105-3	Pengantar Informatika	D-B	121-141	AIF104-3	Logika Informatika	B	122
AIF191-3	Pemrograman Berorientasi Objek	C	121	AIF106-3	Sistem Dijital	C	122
MKU001-2	Pendidikan Pancasila	B	121	AMS190-3	Matematika Informatika	A	122
MKU008-2	Etika	C	121	MKU009-2	Bahasa Indonesia	B	141
MKU010-2	Bahasa Inggris	A	122	MKU011-2	Estetika	C	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	131	AIF202-4	Desain & Analisis Algoritma	C	132
AIF203-4	Struktur Diskrit	B	131	AIF204-4	Manajemen Informasi & Basis Data	E-C	132-142
AIF205-3	Arsitektur & Organisasi Komputer	B	131	AIF206-4	Sistem Operasi	D	132
AMS200-3	Probabilitas & Statistika	A	131	AIF208-4	Rekayasa Perangkat Lunak	C	132
MKU004-2	Pendidikan Agama (fenomenologi)	B	131	AIF210-2	Interaksi Manusia Komputer	B	132
MKU012-2	Logika	B	131				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	B	121	AIF102-4	Algoritma & Struktur Data	D	122
AIF105-3	Pengantar Informatika	B	121	AIF104-3	Logika Informatika	C	122
AIF191-3	Pemrograman Berorientasi Objek	B	121	AIF106-3	Sistem Dijital	A	122
MKU001-2	Pendidikan Pancasila	B	121	AMS100-4	Matematika Informatika	A	121
MKU008-2	Etika	B	121	MKU009-2	Bahasa Indonesia	C	122
MKU010-2	Bahasa Inggris	B	122	MKU011-2	Estetika	A	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	131	AIF202-4	Desain & Analisis Algoritma	C	132
AIF203-4	Struktur Diskrit	B	131	AIF204-4	Manajemen Informasi & Basis Data	C	132
AIF205-3	Arsitektur & Organisasi Komputer	D-A	131-144	AIF206-4	Sistem Operasi	C	132
AMS200-3	Probabilitas & Statistika	A	131	AIF208-4	Rekayasa Perangkat Lunak	C	132
MKU003-2	Pendidikan Agama (katolik)	B	131	AIF210-2	Interaksi Manusia Komputer	B	132
MKU012-2	Logika	C-A	122-131				

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	C	121	AIF102-4	Algoritma & Struktur Data	C	132
AIF105-3	Pengantar Informatika	D-A	121-131	AIF104-3	Logika Informatika	D-B	122-132
AIF191-3	Pemrograman Berorientasi Objek	D-B	121-122	AIF106-3	Sistem Dijital	B	122
MKU001-2	Pendidikan Pancasila	B	121	AMS190-3	Matematika Informatika	A	122
MKU008-2	Etika	C	121	MKU009-2	Bahasa Indonesia	C	132
MKU010-2	Bahasa Inggris	A	122	MKU011-2	Estetika	B	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	D	131	AIF202-4	Desain & Analisis Algoritma	D	142
AIF203-4	Struktur Diskrit	B	131	AIF204-4	Manajemen Informasi & Basis Data	D	132
AIF205-3	Arsitektur & Organisasi Komputer	B	131	AIF206-4	Sistem Operasi	D	142
AMS200-3	Probabilitas & Statistika	B	131	AIF208-4	Rekayasa Perangkat Lunak	C	132
MKU004-2	Pendidikan Agama (fenomenologi)	B	131	AIF210-2	Interaksi Manusia Komputer	C	132
MKU012-2	Logika	C	131				
